                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     43,                 1.2455,                  2.067,                0.94591,                 1.4235,                0.86726,                0.71852,                0.84152,                0.56074,                0.85244,                 0.6963,                0.80578,                 0.4821,                 1.3041,                 2.3412,                 1.0148,                 1.5912,              0.0018337,              0.0018337,              0.0018337
                     44,                 1.2808,                 2.0546,                0.95966,                 1.4397,                0.90231,                0.85185,                0.91508,                0.61785,                0.88335,                0.83333,                0.88854,                0.55306,                 1.1595,                 2.0185,                0.82961,                 1.4483,              0.0018297,              0.0018297,              0.0018297
                     45,                 1.3046,                   2.11,                 1.0121,                 1.4291,                0.87771,                 0.7443,                0.87113,                0.55826,                0.86024,                0.72948,                0.83659,                0.49139,                  1.293,                  2.183,                0.97087,                 1.5366,              0.0018258,              0.0018258,              0.0018258
                     46,                 1.2944,                 2.1368,                0.98009,                 1.4385,                0.90518,                 0.7778,                 0.8855,                0.62367,                0.88831,                0.76586,                0.87028,                0.55612,                 1.1306,                 2.0302,                0.88389,                 1.4457,              0.0018218,              0.0018218,              0.0018218
                     47,                 1.2641,                 2.1419,                0.96935,                 1.4206,                0.86798,                0.85185,                0.92004,                 0.6363,                0.85666,                0.84074,                0.89893,                0.56742,                 1.1497,                 1.9586,                0.82517,                 1.4394,              0.0018178,              0.0018178,              0.0018178
                     48,                 1.2184,                 2.0066,                0.94878,                 1.3887,                0.88869,                0.88711,                0.93331,                0.66495,                0.87353,                0.84421,                  0.911,                 0.5827,                 1.0716,                 1.9389,                 0.7607,                 1.3684,              0.0018139,              0.0018139,              0.0018139
                     49,                 1.2197,                 2.0571,                0.93741,                 1.3846,                  0.892,                0.79537,                 0.8932,                0.60444,                 0.8959,                0.75556,                0.87177,                0.54608,                 1.2068,                 2.0086,                0.89568,                 1.5005,              0.0018099,              0.0018099,              0.0018099
                     50,                 1.2166,                  2.073,                0.95038,                 1.3782,                0.88922,                0.83245,                0.91474,                0.65959,                0.87688,                0.84407,                0.89794,                 0.5552,                  1.076,                 2.0013,                0.75261,                 1.3561,               0.001806,               0.001806,               0.001806
                     51,                 1.2063,                 1.9375,                0.92197,                 1.3803,                0.95555,                    0.8,                0.92058,                0.65459,                 0.9467,                0.79259,                 0.8998,                0.56938,                 1.0789,                 1.9894,                0.76633,                 1.3846,               0.001802,               0.001802,               0.001802
                     52,                 1.2293,                 2.0657,                0.94525,                 1.3807,                0.83693,                0.72231,                0.81095,                0.53498,                0.81227,                    0.7,                0.76881,                0.46559,                 1.3125,                  2.281,                 1.0599,                 1.6048,               0.001798,               0.001798,               0.001798
                     53,                 1.2108,                 2.0029,                0.92134,                 1.3845,                0.80455,                0.74705,                0.83046,                0.52798,                0.76865,                0.71372,                0.77968,                0.47612,                 1.3288,                 2.1867,                 1.0596,                 1.5622,              0.0017941,              0.0017941,              0.0017941
                     54,                 1.2413,                 2.0179,                0.95296,                 1.3903,                0.64007,                 0.3963,                0.47385,                  0.248,                0.60913,                0.37517,                0.41957,                0.21575,                 1.8047,                 3.2253,                 2.0305,                 2.0311,              0.0017901,              0.0017901,              0.0017901
